Дата,Багратионовский городской округ,Балтийский городской округ,Гвардейский городской округ,"Городской округ ""Город Калининград""",Гурьевский городской округ,Гусевский городской округ,Зеленоградский городской округ,Краснознаменский городской округ,Ладушкинский городской округ,Мамоновский городской округ,Неманский городской округ,Нестеровский городской округ,Озёрский городской округ,Пионерский городской округ,Полесский городской округ,Правдинский городской округ,Светловский городской округ,Светлогорский городской округ,Славский городской округ,Советский городской округ,Черняховский городской округ,Янтарный городской округ
2020-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,0,1,0,56,1,0,3,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0
2020-09-08,1,0,1,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-09-09,0,0,1,23,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-09-10,0,0,0,23,2,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0
2020-09-11,0,1,1,21,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0
2020-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,2,0,0,68,2,0,1,0,0,1,0,0,0,0,0,2,0,3,0,2,7,0
2020-09-15,0,1,0,23,1,0,2,0,0,0,0,1,0,0,0,3,1,0,0,1,2,0
2020-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-17,3,1,3,45,2,1,2,0,0,0,1,0,0,0,0,1,0,1,0,2,1,0
2020-09-18,0,3,1,25,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2020-09-19,0,0,0,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-09-20,3,0,1,22,2,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,1,0
2020-09-21,0,0,1,25,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2020-09-22,4,1,0,19,2,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0
2020-09-23,6,0,0,26,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-09-24,6,0,1,26,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2020-09-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-26,0,3,0,53,2,0,3,0,0,0,4,0,0,0,0,2,2,0,1,3,2,0
2020-09-27,0,2,0,25,1,0,0,0,0,0,0,0,0,3,0,2,0,1,0,2,1,0
2020-09-28,2,0,0,34,5,0,1,0,0,0,4,0,0,2,0,0,1,0,0,0,1,0
2020-09-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,6,8,4,96,10,0,5,0,0,0,3,0,1,6,0,1,5,3,1,7,5,0
2020-10-02,2,1,0,39,4,0,0,0,0,0,2,0,2,2,0,2,4,1,1,1,3,0
2020-10-03,3,2,0,50,2,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0
2020-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,5,2,1,101,7,1,7,0,0,0,1,1,0,2,0,2,5,1,1,3,0,0
2020-10-06,2,2,1,34,6,2,0,1,0,0,0,0,0,8,0,0,1,2,3,1,2,0
2020-10-07,3,2,0,35,2,1,3,0,0,0,3,0,1,6,0,1,5,1,1,0,0,0
2020-10-08,0,3,0,36,3,0,0,0,0,2,0,0,0,1,0,3,5,2,0,3,5,0
2020-10-09,2,2,0,42,3,0,4,0,0,0,2,0,0,5,0,1,0,3,0,1,2,0
2020-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,7,4,6,156,14,3,4,0,1,1,1,0,0,3,4,5,1,0,2,3,10,0
2020-10-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-14,6,3,0,100,11,0,5,4,0,0,4,0,0,2,0,3,5,2,0,3,0,0
2020-10-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-16,2,9,3,97,2,2,3,0,0,0,0,0,1,4,2,2,6,10,1,0,5,0
2020-10-17,2,0,1,58,5,0,3,0,0,0,1,0,0,0,2,0,1,0,1,1,3,0
2020-10-18,3,0,0,57,7,0,3,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0
2020-10-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
